Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,89.51,90.89,89.12,90.78,262423.00
2018-07-02 20:00:00-04:00,91.98,94.74,91.98,92.55,445874.00
2018-07-04 20:00:00-04:00,93.09,93.34,91.11,92.95,738576.00
2018-07-05 20:00:00-04:00,92.90,93.29,92.46,92.88,271691.00
2018-07-08 20:00:00-04:00,93.21,95.38,92.90,95.08,484195.00
2018-07-09 20:00:00-04:00,95.65,97.25,95.39,97.11,593876.00
2018-07-10 20:00:00-04:00,95.86,96.16,94.69,95.09,566459.00
2018-07-11 20:00:00-04:00,95.90,96.46,94.80,96.11,407295.00
2018-07-12 20:00:00-04:00,96.10,97.52,95.74,96.98,330343.00
2018-07-15 20:00:00-04:00,96.72,96.84,95.44,95.94,418575.00
2018-07-16 20:00:00-04:00,95.66,98.22,95.41,96.98,599315.00
2018-07-17 20:00:00-04:00,97.05,98.72,96.54,98.23,341068.00
2018-07-18 20:00:00-04:00,97.81,99.42,97.52,98.88,393356.00
2018-07-19 20:00:00-04:00,98.59,99.25,97.66,98.59,461006.00
2018-07-22 20:00:00-04:00,98.46,98.46,96.93,97.48,829431.00
2018-07-23 20:00:00-04:00,102.12,103.32,98.67,101.41,1200300.50
2018-07-24 20:00:00-04:00,103.09,104.09,101.36,103.88,1033684.00
2018-07-25 20:00:00-04:00,103.99,105.98,103.71,105.06,623394.00
2018-07-26 20:00:00-04:00,105.02,105.07,103.38,104.31,383441.00
2018-07-29 20:00:00-04:00,104.92,105.73,102.54,102.61,499415.00
2018-07-30 20:00:00-04:00,103.14,106.10,102.53,105.44,457429.00
2018-07-31 20:00:00-04:00,105.00,106.02,102.05,102.55,469899.00
2018-08-01 20:00:00-04:00,101.72,102.79,100.70,101.02,467411.00
2018-08-02 20:00:00-04:00,101.31,102.34,100.88,102.28,296792.00
2018-08-05 20:00:00-04:00,102.20,102.75,101.45,101.62,375493.00
2018-08-06 20:00:00-04:00,101.79,102.77,101.56,101.84,378837.00
2018-08-07 20:00:00-04:00,101.60,101.60,100.32,101.04,308795.00
2018-08-08 20:00:00-04:00,101.17,101.55,100.41,101.13,266412.00
2018-08-09 20:00:00-04:00,100.43,101.43,99.86,100.88,187313.00
2018-08-12 20:00:00-04:00,101.19,101.55,100.41,101.35,539394.00
2018-08-13 20:00:00-04:00,101.85,104.03,101.85,103.38,428234.00
2018-08-14 20:00:00-04:00,102.73,103.52,101.25,103.37,345726.00
2018-08-15 20:00:00-04:00,103.86,105.55,103.72,104.60,326868.00
2018-08-16 20:00:00-04:00,104.62,105.73,104.62,105.45,439932.00
2018-08-19 20:00:00-04:00,105.57,106.96,105.38,105.74,376309.00
2018-08-20 20:00:00-04:00,106.20,107.26,105.27,107.11,398038.00
2018-08-21 20:00:00-04:00,107.24,107.24,105.67,106.04,225515.00
2018-08-22 20:00:00-04:00,106.00,106.74,105.52,106.46,265769.00
2018-08-23 20:00:00-04:00,107.15,107.15,105.92,106.84,176292.00
2018-08-26 20:00:00-04:00,107.29,108.78,107.29,108.51,287582.00
2018-08-27 20:00:00-04:00,108.63,109.42,108.16,108.21,230195.00
2018-08-28 20:00:00-04:00,108.22,108.81,107.52,108.49,304683.00
2018-08-29 20:00:00-04:00,108.22,108.47,107.17,107.94,286530.00
2018-08-30 20:00:00-04:00,107.50,109.13,107.50,108.76,167324.00
2018-09-03 20:00:00-04:00,108.45,108.77,107.29,108.40,189249.00
