Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,216.83,221.50,215.28,221.28,325500
2018-07-02 20:00:00-04:00,222.09,222.73,218.03,218.82,234000
2018-07-04 20:00:00-04:00,220.26,222.36,217.25,221.84,407300
2018-07-05 20:00:00-04:00,222.18,225.94,222.18,225.53,346300
2018-07-08 20:00:00-04:00,226.43,229.98,226.43,229.51,540200
2018-07-09 20:00:00-04:00,236.88,237.94,230.35,234.10,684400
2018-07-10 20:00:00-04:00,232.95,235.93,231.56,234.16,416500
2018-07-11 20:00:00-04:00,235.31,237.52,234.59,237.46,329600
2018-07-12 20:00:00-04:00,237.46,238.72,236.11,238.15,198700
2018-07-15 20:00:00-04:00,238.98,239.67,236.54,237.92,253700
2018-07-16 20:00:00-04:00,236.63,240.50,236.63,239.79,340800
2018-07-17 20:00:00-04:00,239.81,241.61,238.41,239.10,300800
2018-07-18 20:00:00-04:00,239.15,243.74,238.15,242.82,380600
2018-07-19 20:00:00-04:00,243.18,248.65,242.27,248.14,539500
2018-07-22 20:00:00-04:00,248.29,248.72,243.44,248.55,369300
2018-07-23 20:00:00-04:00,249.80,252.40,247.02,248.07,474600
2018-07-24 20:00:00-04:00,247.67,251.41,247.54,251.13,484000
2018-07-25 20:00:00-04:00,252.49,252.49,247.62,247.98,331800
2018-07-26 20:00:00-04:00,248.72,249.00,239.35,241.27,513800
2018-07-29 20:00:00-04:00,240.64,242.49,235.67,237.76,619100
2018-07-30 20:00:00-04:00,238.17,245.25,237.00,244.93,537300
2018-07-31 20:00:00-04:00,244.93,244.93,227.79,236.15,1092300
2018-08-01 20:00:00-04:00,234.69,243.04,234.25,240.80,521700
2018-08-02 20:00:00-04:00,241.00,243.37,238.38,242.64,440800
2018-08-05 20:00:00-04:00,242.06,244.31,240.56,242.91,357900
2018-08-06 20:00:00-04:00,243.99,246.21,243.78,245.52,515500
2018-08-07 20:00:00-04:00,243.99,246.77,243.49,246.22,545600
2018-08-08 20:00:00-04:00,246.73,249.18,244.27,244.63,380300
2018-08-09 20:00:00-04:00,242.92,245.83,242.04,243.52,299000
2018-08-12 20:00:00-04:00,243.65,245.47,240.32,240.57,384300
2018-08-13 20:00:00-04:00,242.05,244.91,239.88,243.37,316200
2018-08-14 20:00:00-04:00,241.48,242.81,238.44,241.57,286300
2018-08-15 20:00:00-04:00,242.99,244.04,241.61,243.26,302900
2018-08-16 20:00:00-04:00,242.98,243.89,240.89,243.50,309300
2018-08-19 20:00:00-04:00,244.83,245.57,240.73,242.48,480100
2018-08-20 20:00:00-04:00,242.70,245.41,242.33,242.52,392000
2018-08-21 20:00:00-04:00,242.00,246.54,241.31,245.89,304000
2018-08-22 20:00:00-04:00,245.86,248.99,245.34,245.97,408700
2018-08-23 20:00:00-04:00,246.71,251.30,245.74,249.50,497100
2018-08-26 20:00:00-04:00,250.67,255.09,248.64,251.34,492400
2018-08-27 20:00:00-04:00,251.62,253.46,250.84,251.70,309200
2018-08-28 20:00:00-04:00,251.70,256.22,251.70,254.46,449900
2018-08-29 20:00:00-04:00,253.75,254.77,252.11,253.48,307400
2018-08-30 20:00:00-04:00,253.37,255.15,252.21,254.04,374800
2018-09-03 20:00:00-04:00,253.37,254.28,249.64,251.00,526300
2018-09-04 20:00:00-04:00,251.09,251.70,243.64,245.65,734400
2018-09-05 20:00:00-04:00,245.43,247.30,242.84,244.26,511500
2018-09-06 20:00:00-04:00,244.17,246.40,241.92,242.55,379200
2018-09-09 20:00:00-04:00,244.50,247.99,243.55,246.11,508200
2018-09-10 20:00:00-04:00,246.48,248.09,241.32,242.43,641000
2018-09-11 20:00:00-04:00,242.40,246.06,241.70,245.65,343500
2018-09-12 20:00:00-04:00,246.14,249.75,245.71,249.29,362700
2018-09-13 20:00:00-04:00,248.94,249.89,247.07,247.94,320300
2018-09-16 20:00:00-04:00,247.72,248.86,242.11,242.94,377500
2018-09-17 20:00:00-04:00,243.67,247.70,242.00,245.22,543000
2018-09-18 20:00:00-04:00,244.93,245.73,240.02,240.90,509200
2018-09-19 20:00:00-04:00,241.96,243.72,239.26,242.02,713800
